2017-10-22 23:10:03,893 [onode        27] [INFO ]  logging for the first time 
2017-10-22 23:10:07,607 [replica_0    331] [DEBUG]  shuttle after update: ([b'\xb3T\x97\xb2\xe6k\xabC\x05\x07^R\xfa\xc0|\x03\xdc|\x03 D\xc8\x9d\xfc\xde\xfe]gO\x00W\xc6\x19"\x87\x0f\x99\x1c\x1f\xfaH\x81okS\x1f\xfc\xa4\xa6\xf8\xb4\x93\xb6\x10v\xb25\xd8\xf5\xe541\xe4\x05(2, "put(\'movie\',\'star\')")'], [b'A\xaf\x1bGRD\xcd\xc8_\xe4d3\x8e\x1f\x16{\x1a]\\\xd3\xf2\xad\xdd~?\xf7/\xbd\x05\x89\xd1\r\xbfE\xc3\xcbv\xd3F\xbf\xe9)\xe7F\xd4\xc4\xa2;\xee\x80o\x15\xff\x07\x85\x01g\xda\x01\']y\xc2\x06(\'ok\', "put(\'movie\',\'star\')", b\'75db4aa93bd27850bc6dff0c8ba9420193961504b96d39627595f3aa8e60af63\')'])
2017-10-22 23:10:07,607 [replica_1    149] [DEBUG]  validating order proofs, SHUTTLE is not empty...
2017-10-22 23:10:07,608 [replica_0    203] [INFO ]  updating OrderProof and ResultProof !!
2017-10-22 23:10:07,608 [replica_1    155] [DEBUG]  order number1from shttle : b'\xdeH\x0c\xcb\n\x1f\xdb\x11%\xee\x83\xc8v\x0e0\x97\xed\x94\xf0m\xd5&?\xa7\xd2\xce\x1f\x12g\x8bi\xfe\x83(o\xfb\x88\x01A\x8f\x08\x1f/8B*\xb3\xb4\xcbn\xb9\xff\xf5\xd0.@v\xb3\x1bH\xb2\xad\xff\x00(1, "put(\'movie\',\'star\')")'
2017-10-22 23:10:07,609 [replica_0    333] [DEBUG]  ResultProof: [b'A\xaf\x1bGRD\xcd\xc8_\xe4d3\x8e\x1f\x16{\x1a]\\\xd3\xf2\xad\xdd~?\xf7/\xbd\x05\x89\xd1\r\xbfE\xc3\xcbv\xd3F\xbf\xe9)\xe7F\xd4\xc4\xa2;\xee\x80o\x15\xff\x07\x85\x01g\xda\x01\']y\xc2\x06(\'ok\', "put(\'movie\',\'star\')", b\'75db4aa93bd27850bc6dff0c8ba9420193961504b96d39627595f3aa8e60af63\')', b'A\xaf\x1bGRD\xcd\xc8_\xe4d3\x8e\x1f\x16{\x1a]\\\xd3\xf2\xad\xdd~?\xf7/\xbd\x05\x89\xd1\r\xbfE\xc3\xcbv\xd3F\xbf\xe9)\xe7F\xd4\xc4\xa2;\xee\x80o\x15\xff\x07\x85\x01g\xda\x01\']y\xc2\x06(\'ok\', "put(\'movie\',\'star\')", b\'75db4aa93bd27850bc6dff0c8ba9420193961504b96d39627595f3aa8e60af63\')']
OrderProof: [b'\xdeH\x0c\xcb\n\x1f\xdb\x11%\xee\x83\xc8v\x0e0\x97\xed\x94\xf0m\xd5&?\xa7\xd2\xce\x1f\x12g\x8bi\xfe\x83(o\xfb\x88\x01A\x8f\x08\x1f/8B*\xb3\xb4\xcbn\xb9\xff\xf5\xd0.@v\xb3\x1bH\xb2\xad\xff\x00(1, "put(\'movie\',\'star\')")', b'\xb3T\x97\xb2\xe6k\xabC\x05\x07^R\xfa\xc0|\x03\xdc|\x03 D\xc8\x9d\xfc\xde\xfe]gO\x00W\xc6\x19"\x87\x0f\x99\x1c\x1f\xfaH\x81okS\x1f\xfc\xa4\xa6\xf8\xb4\x93\xb6\x10v\xb25\xd8\xf5\xe541\xe4\x05(2, "put(\'movie\',\'star\')")']
2017-10-22 23:10:07,609 [replica_1    159] [DEBUG]  validating this slot pair of orderproodf 
2017-10-22 23:10:07,610 [replica_1    163] [DEBUG]  verified
2017-10-22 23:10:07,610 [replica_1    168] [INFO ]  validation success
2017-10-22 23:10:07,611 [replica_1    277] [INFO ]  Executing Operation in dictonary. operation : put('movie','star')
2017-10-22 23:10:07,612 [replica_1    193] [DEBUG]  inside getResult_Order_Proof function for creating the current tuple
2017-10-22 23:10:07,613 [replica_1    189] [DEBUG]  orignal message : (1, "put('movie','star')"), signedMsg : b'\x10\x80\xc2\xdd\x9e$\xfb.7\x1aH\x06JK\xac\x88\xc07\x91\x10Fy\xd41\xe3.\x9d\xb4\x14\xe8\x83zq\xdc{t\x01X\n\xd9\xf1\x19\x80\xf6\'a\x05\xe2\x87"\xd3\x99\xf3\xe6\xb2\x90\x0c\x10@\x07A\xc1\xf2\x02(1, "put(\'movie\',\'star\')")'
2017-10-22 23:10:07,614 [replica_1    189] [DEBUG]  orignal message : ('ok', "put('movie','star')", b'75db4aa93bd27850bc6dff0c8ba9420193961504b96d39627595f3aa8e60af63'), signedMsg : b'\xb0_\x92\x01#\n\xf8\xb0\x93q.\x0e\x0c$\xd2\x1b\xfe\x11\xff\x90\xcf\xacJf}\xc7\xb74\xd6\xe7Z\x97\x17\xba\xbb\xba\xb2)\xfc\xfdcc-?\x96#\xec\xcb}!\xe6\xd8\x12\x1c\x9b\xdc\x9a\x8c\x99SO\xf1\x9b\x05(\'ok\', "put(\'movie\',\'star\')", b\'75db4aa93bd27850bc6dff0c8ba9420193961504b96d39627595f3aa8e60af63\')'
2017-10-22 23:10:07,614 [replica_0    245] [INFO ]  CheckForPossibleFailure : {<Client:c3002#client_0>: {'forwardRequestCounter': 0, 'shuttleCounter': 1, 'directRequestCounter': 1, 'resultShuttleCounter': 0}, <Client:85802#client_1>: {'forwardRequestCounter': 0, 'shuttleCounter': 1, 'directRequestCounter': 1, 'resultShuttleCounter': 0}}, self.failureDS : {}, client : <Client:85802#client_1>
2017-10-22 23:10:07,615 [replica_1    174] [DEBUG]  updateShuttle at Replica : <Replica:82002#replica_1>
2017-10-22 23:10:07,615 [replica_0    336] [INFO ]  TriggerName Found => None
